xDom,yDom,class
3.3449445781048666,4.067286617453877,B
2.619029003895652,4.084770266513072,B
4.930503270284674,7.518910737429872,C
7.906183269840861,3.690840234888389,C
7.362426991046282,2.0,B
7.720274895670062,3.9937724280018085,A
4.453806898688131,7.316980033050215,C
4.9567758478226285,7.681522058904347,B
2.605413000144122,3.053429839542894,A
7.788120910340091,3.9595797298451423,C
4.43998093099961,7.917084863785176,C
4.9139575571890255,7.340127295162952,B
8.383375811368701,2.9907385715812413,C
4.894018410818312,7.143707845571535,B
5.2759740299410165,7.585886762704821,B
7.5286907230165525,3.401107572446099,C
6.952461957283687,3.856542105436871,B
7.5755259604938745,3.1153806344717414,C
5.508050747460961,7.884914478768209,C
7.276912704769492,2.828893591341925,C
6.866818838875543,3.273890705514213,B
5.140561339909318,7.093100155702089,C
5.338525034349195,7.338698790854052,B
5.573664091409456,8.029705355998635,B
1.8110340477866185,4.235990585096179,B
7.5887902758234675,4.366738976624832,C
1.8137038579468256,3.795713864965992,A
2.5014110318869824,3.3174161189281235,C
4.994743297687693,8.565822793601399,B
7.387502452599383,2.9195015976061116,C
6.971501585919457,3.591878774910014,C
1.9940202895218453,3.833114252595968,B
4.959929481862547,8.615080056423153,B
4.552216727913371,7.878447917083108,B
2.218029866827252,3.5270947930494616,A
4.67553774221553,7.528538906602813,C
7.6613640983811395,3.900237567384232,B
2.446340998541901,3.902961659960708,B
4.628224332853799,7.603996828648744,B
3.9481769950895194,7.519446804002178,A
2.1223969847491424,3.714509010661147,A
1.74318694454211,3.3099824054244955,C
2.5816943753240107,3.967767453731839,A
4.540911394639698,7.383341312418011,C
7.694972825792509,5.0,A
5.165805591634522,7.582101884483379,B
4.449977519830087,7.802234659090789,B
6.9798050959475875,3.4454986401142005,C
2.837963631388268,3.1562076875282883,A
3.225402299181661,3.6982141389937455,A
3.5,8.063957572342144,B
2.8895979743558358,3.297764064043512,C
8.53565844177941,3.6674223992800097,B
2.599919823169817,3.1981692987261963,A
2.8895625820722346,2.700141582747184,C
7.23086251247109,3.654234594024112,C
1.698961077708458,3.252619817066436,A
6.78289404234566,4.382962900356079,B
2.492641981104424,3.2144944877598363,B
2.955440350314809,3.781977711320309,A
3.2983837854148312,3.753128661200876,B
4.337470165864383,6.937139112617473,B
7.5135577188502465,3.7210994661941097,C
7.949304906532492,3.99975188122898,B
3.0502259742018984,3.081430599416688,B
2.17667088021448,4.506618162495789,C
4.775100277011247,7.727286803804518,B
4.628830804535079,7.119034116794825,B
8.038253781648883,4.028909226137769,C
2.4587518747396477,3.494815026415388,C
7.588177261929138,4.066573850700069,C
3.273881299506644,3.829442532470491,A
7.303821770607567,3.076090899786517,A
1.2283005618595524,2.716412803345402,C
3.229069330773377,3.854434612039292,C
5.528660577491914,8.203257141329075,B
5.08508601936385,7.522778150594298,A
7.158811944660518,3.236427980858544,C
6.204244572021924,6.629136792199801,C
1.9677103736087544,3.0749394556873075,B
8.223781175788606,3.769436337237072,C
2.6898700893612655,2.7268272867271697,A
7.6974210998351955,3.324158106209628,C
8.013088795084519,3.2025068785602446,B
5.829366117620151,7.081309622247215,B
2.767166018182407,2.961684592399948,A
7.445421637888143,3.465329657179578,C
5.404408820096713,7.122046708946358,A
5.0104077555104505,7.763506082145946,B
5.234116113230663,7.442808530738702,A
2.8384561123181213,4.1940558771360985,C
2.0033123186828683,2.121077157610636,A
5.070232821796028,8.15546064797975,B
4.175855201321377,7.7838644164012525,B
7.632004980490358,3.5065244201271746,A
4.319208341483901,7.373399992975767,C
7.521805389611819,4.7032932598877215,B
2.93225570946044,3.438865232584363,C
6.995296372260432,3.9659731527438233,A
